Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0603,5,"1uF,25V,X5R",C52923
"J1, J2, J3, J4, J5, J6",dodecahedron_corner,6,Conn_01x04,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R3, R4, R5, R6, R7, R8, R9",0402,24,0,C17168
ROW1,0603,1,"10uF,10V,X5R ",C52923
"TP11, TP13, TP15, TP3, TP4, TP7, TP8",SWS-Testpoint-Bug-SM-2.4mm,7,TestPoint,
"WS2812B1, WS2812B2, WS2812B3, WS2812B4, WS2812B5, WS2812B6",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,6,XL-5050RGBC-WS2812B,C2843785
