Designator,Footprint,Quantity,Value,LCSC Part #
"5V, GND, LED-IN, LED-OUT",TestPoint_THTPad_D2.0mm_Drill1.0mm,4,TestPoint,
"C1, C2, C3, C4, C5, C6, C7, C8, C9",0402,9,"1uF,25V,X5R",C52923
"J1, J2, J3, J4, J5",pentagon-corner,5,Conn_01x08,
ROW1,0402,1,"10uF,10V,X5R ",C52923
"WS2812B1, WS2812B10, WS2812B2, WS2812B3, WS2812B4, WS2812B5, WS2812B6, WS2812B7, WS2812B8, WS2812B9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10,XL-5050RGBC-WS2812B,C2843785
